"","datetime_local","datetime_utc","location","sun","sky_cover"
"60",2024-01-03 11:00:00,2024-01-03 16:00:00,"CVG",1,0
"61",2024-01-03 12:00:00,2024-01-03 17:00:00,"CVG",1,2
"62",2024-01-03 13:00:00,2024-01-03 18:00:00,"CVG",1,2
"63",2024-01-03 14:00:00,2024-01-03 19:00:00,"CVG",1,7
"64",2024-01-03 15:00:00,2024-01-03 20:00:00,"CVG",1,8
"65",2024-01-03 16:00:00,2024-01-03 21:00:00,"CVG",1,8
"66",2024-01-03 17:00:00,2024-01-03 22:00:00,"CVG",1,8
"67",2024-01-03 18:00:00,2024-01-03 23:00:00,"CVG",0,8
"68",2024-01-03 19:00:00,2024-01-04,"CVG",0,8
"69",2024-01-03 20:00:00,2024-01-04 01:00:00,"CVG",0,8
"70",2024-01-03 21:00:00,2024-01-04 02:00:00,"CVG",0,8
"71",2024-01-03 22:00:00,2024-01-04 03:00:00,"CVG",0,8
"72",2024-01-03 23:00:00,2024-01-04 04:00:00,"CVG",0,8
"73",2024-01-04,2024-01-04 05:00:00,"CVG",0,8
"74",2024-01-04 01:00:00,2024-01-04 06:00:00,"CVG",0,8
"75",2024-01-04 02:00:00,2024-01-04 07:00:00,"CVG",0,8
"76",2024-01-04 03:00:00,2024-01-04 08:00:00,"CVG",0,8
"77",2024-01-04 04:00:00,2024-01-04 09:00:00,"CVG",0,8
"78",2024-01-04 05:00:00,2024-01-04 10:00:00,"CVG",0,8
"79",2024-01-04 06:00:00,2024-01-04 11:00:00,"CVG",0,8
"80",2024-01-04 07:00:00,2024-01-04 12:00:00,"CVG",0,8
"81",2024-01-04 08:00:00,2024-01-04 13:00:00,"CVG",0,5.5
"82",2024-01-04 09:00:00,2024-01-04 14:00:00,"CVG",1,8
"83",2024-01-04 10:00:00,2024-01-04 15:00:00,"CVG",1,8
"84",2024-01-04 11:00:00,2024-01-04 16:00:00,"CVG",1,8
"85",2024-01-04 12:00:00,2024-01-04 17:00:00,"CVG",1,4.5
"86",2024-01-04 13:00:00,2024-01-04 18:00:00,"CVG",1,2
"87",2024-01-04 14:00:00,2024-01-04 19:00:00,"CVG",1,2
"88",2024-01-04 15:00:00,2024-01-04 20:00:00,"CVG",1,2
"89",2024-01-04 16:00:00,2024-01-04 21:00:00,"CVG",1,0
"90",2024-01-04 17:00:00,2024-01-04 22:00:00,"CVG",1,0
"91",2024-01-04 18:00:00,2024-01-04 23:00:00,"CVG",0,0
"92",2024-01-04 19:00:00,2024-01-05,"CVG",0,0
"93",2024-01-04 20:00:00,2024-01-05 01:00:00,"CVG",0,0
"94",2024-01-04 21:00:00,2024-01-05 02:00:00,"CVG",0,0
"95",2024-01-04 22:00:00,2024-01-05 03:00:00,"CVG",0,2
"96",2024-01-04 23:00:00,2024-01-05 04:00:00,"CVG",0,0
"97",2024-01-05,2024-01-05 05:00:00,"CVG",0,0
"98",2024-01-05 01:00:00,2024-01-05 06:00:00,"CVG",0,2
"99",2024-01-05 02:00:00,2024-01-05 07:00:00,"CVG",0,4
"100",2024-01-05 03:00:00,2024-01-05 08:00:00,"CVG",0,7
"101",2024-01-05 04:00:00,2024-01-05 09:00:00,"CVG",0,7
"102",2024-01-05 05:00:00,2024-01-05 10:00:00,"CVG",0,7
"103",2024-01-05 06:00:00,2024-01-05 11:00:00,"CVG",0,7
"104",2024-01-05 07:00:00,2024-01-05 12:00:00,"CVG",0,7
"105",2024-01-05 08:00:00,2024-01-05 13:00:00,"CVG",0,7
"106",2024-01-05 09:00:00,2024-01-05 14:00:00,"CVG",1,7
"107",2024-01-05 10:00:00,2024-01-05 15:00:00,"CVG",1,7
"108",2024-01-05 11:00:00,2024-01-05 16:00:00,"CVG",1,7
"109",2024-01-05 12:00:00,2024-01-05 17:00:00,"CVG",1,7
"110",2024-01-05 13:00:00,2024-01-05 18:00:00,"CVG",1,7
"111",2024-01-05 14:00:00,2024-01-05 19:00:00,"CVG",1,8
"112",2024-01-05 15:00:00,2024-01-05 20:00:00,"CVG",1,8
"113",2024-01-05 16:00:00,2024-01-05 21:00:00,"CVG",1,8
"114",2024-01-05 17:00:00,2024-01-05 22:00:00,"CVG",1,8
"115",2024-01-05 18:00:00,2024-01-05 23:00:00,"CVG",0,8
"116",2024-01-05 19:00:00,2024-01-06,"CVG",0,8
"117",2024-01-05 20:00:00,2024-01-06 01:00:00,"CVG",0,8
"118",2024-01-05 21:00:00,2024-01-06 02:00:00,"CVG",0,8
"119",2024-01-05 22:00:00,2024-01-06 03:00:00,"CVG",0,8
"120",2024-01-05 23:00:00,2024-01-06 04:00:00,"CVG",0,8
"121",2024-01-06,2024-01-06 05:00:00,"CVG",0,8
"122",2024-01-06 01:00:00,2024-01-06 06:00:00,"CVG",0,8
"123",2024-01-06 02:00:00,2024-01-06 07:00:00,"CVG",0,8
"124",2024-01-06 03:00:00,2024-01-06 08:00:00,"CVG",0,8
"125",2024-01-06 04:00:00,2024-01-06 09:00:00,"CVG",0,8
"126",2024-01-06 05:00:00,2024-01-06 10:00:00,"CVG",0,8
"127",2024-01-06 06:00:00,2024-01-06 11:00:00,"CVG",0,8
"128",2024-01-06 07:00:00,2024-01-06 12:00:00,"CVG",0,8
"129",2024-01-06 08:00:00,2024-01-06 13:00:00,"CVG",0,8
"130",2024-01-06 09:00:00,2024-01-06 14:00:00,"CVG",1,8
"131",2024-01-06 10:00:00,2024-01-06 15:00:00,"CVG",1,8
"132",2024-01-06 11:00:00,2024-01-06 16:00:00,"CVG",1,8
"133",2024-01-06 12:00:00,2024-01-06 17:00:00,"CVG",1,8
"134",2024-01-06 13:00:00,2024-01-06 18:00:00,"CVG",1,8
"135",2024-01-06 14:00:00,2024-01-06 19:00:00,"CVG",1,8
"136",2024-01-06 15:00:00,2024-01-06 20:00:00,"CVG",1,8
"137",2024-01-06 16:00:00,2024-01-06 21:00:00,"CVG",1,8
"138",2024-01-06 17:00:00,2024-01-06 22:00:00,"CVG",1,8
"139",2024-01-06 18:00:00,2024-01-06 23:00:00,"CVG",0,8
"140",2024-01-06 19:00:00,2024-01-07,"CVG",0,8
"141",2024-01-06 20:00:00,2024-01-07 01:00:00,"CVG",0,8
"142",2024-01-06 21:00:00,2024-01-07 02:00:00,"CVG",0,8
"143",2024-01-06 22:00:00,2024-01-07 03:00:00,"CVG",0,8
"144",2024-01-06 23:00:00,2024-01-07 04:00:00,"CVG",0,8
"145",2024-01-07,2024-01-07 05:00:00,"CVG",0,8
"146",2024-01-07 01:00:00,2024-01-07 06:00:00,"CVG",0,8
"147",2024-01-07 02:00:00,2024-01-07 07:00:00,"CVG",0,8
"148",2024-01-07 03:00:00,2024-01-07 08:00:00,"CVG",0,8
"149",2024-01-07 04:00:00,2024-01-07 09:00:00,"CVG",0,8
"150",2024-01-07 05:00:00,2024-01-07 10:00:00,"CVG",0,8
"151",2024-01-07 06:00:00,2024-01-07 11:00:00,"CVG",0,8
"152",2024-01-07 07:00:00,2024-01-07 12:00:00,"CVG",0,8
"153",2024-01-07 08:00:00,2024-01-07 13:00:00,"CVG",0,8
"154",2024-01-07 09:00:00,2024-01-07 14:00:00,"CVG",1,8
"155",2024-01-07 10:00:00,2024-01-07 15:00:00,"CVG",1,8
"156",2024-01-07 11:00:00,2024-01-07 16:00:00,"CVG",1,8
"157",2024-01-07 12:00:00,2024-01-07 17:00:00,"CVG",1,8
"158",2024-01-07 13:00:00,2024-01-07 18:00:00,"CVG",1,8
"159",2024-01-07 14:00:00,2024-01-07 19:00:00,"CVG",1,8
"160",2024-01-07 15:00:00,2024-01-07 20:00:00,"CVG",1,8
"161",2024-01-07 16:00:00,2024-01-07 21:00:00,"CVG",1,8
"162",2024-01-07 17:00:00,2024-01-07 22:00:00,"CVG",1,8
"163",2024-01-07 18:00:00,2024-01-07 23:00:00,"CVG",0,8
"164",2024-01-07 19:00:00,2024-01-08,"CVG",0,8
"165",2024-01-07 20:00:00,2024-01-08 01:00:00,"CVG",0,8
"166",2024-01-07 21:00:00,2024-01-08 02:00:00,"CVG",0,8
"167",2024-01-07 22:00:00,2024-01-08 03:00:00,"CVG",0,8
"168",2024-01-07 23:00:00,2024-01-08 04:00:00,"CVG",0,8
"169",2024-01-08,2024-01-08 05:00:00,"CVG",0,8
"170",2024-01-08 01:00:00,2024-01-08 06:00:00,"CVG",0,8
"171",2024-01-08 02:00:00,2024-01-08 07:00:00,"CVG",0,8
"172",2024-01-08 03:00:00,2024-01-08 08:00:00,"CVG",0,7
"173",2024-01-08 04:00:00,2024-01-08 09:00:00,"CVG",0,8
"174",2024-01-08 05:00:00,2024-01-08 10:00:00,"CVG",0,8
"175",2024-01-08 06:00:00,2024-01-08 11:00:00,"CVG",0,8
"176",2024-01-08 07:00:00,2024-01-08 12:00:00,"CVG",0,7
"177",2024-01-08 08:00:00,2024-01-08 13:00:00,"CVG",0,7
"178",2024-01-08 09:00:00,2024-01-08 14:00:00,"CVG",1,7
"179",2024-01-08 10:00:00,2024-01-08 15:00:00,"CVG",1,7
"180",2024-01-08 11:00:00,2024-01-08 16:00:00,"CVG",1,8
"181",2024-01-08 12:00:00,2024-01-08 17:00:00,"CVG",1,8
"182",2024-01-08 13:00:00,2024-01-08 18:00:00,"CVG",1,7
"183",2024-01-08 14:00:00,2024-01-08 19:00:00,"CVG",1,8
"184",2024-01-08 15:00:00,2024-01-08 20:00:00,"CVG",1,8
"185",2024-01-08 16:00:00,2024-01-08 21:00:00,"CVG",1,8
"186",2024-01-08 17:00:00,2024-01-08 22:00:00,"CVG",1,8
"187",2024-01-08 18:00:00,2024-01-08 23:00:00,"CVG",0,8
"188",2024-01-08 19:00:00,2024-01-09,"CVG",0,8
"189",2024-01-08 20:00:00,2024-01-09 01:00:00,"CVG",0,8
"190",2024-01-08 21:00:00,2024-01-09 02:00:00,"CVG",0,8
"191",2024-01-08 22:00:00,2024-01-09 03:00:00,"CVG",0,8
"192",2024-01-08 23:00:00,2024-01-09 04:00:00,"CVG",0,8
"193",2024-01-09,2024-01-09 05:00:00,"CVG",0,8
"194",2024-01-09 01:00:00,2024-01-09 06:00:00,"CVG",0,8
"195",2024-01-09 02:00:00,2024-01-09 07:00:00,"CVG",0,8
"196",2024-01-09 03:00:00,2024-01-09 08:00:00,"CVG",0,8
"197",2024-01-09 04:00:00,2024-01-09 09:00:00,"CVG",0,8
"198",2024-01-09 05:00:00,2024-01-09 10:00:00,"CVG",0,8
"199",2024-01-09 06:00:00,2024-01-09 11:00:00,"CVG",0,8
"200",2024-01-09 07:00:00,2024-01-09 12:00:00,"CVG",0,8
"201",2024-01-09 08:00:00,2024-01-09 13:00:00,"CVG",0,8
"202",2024-01-09 09:00:00,2024-01-09 14:00:00,"CVG",1,8
"203",2024-01-09 10:00:00,2024-01-09 15:00:00,"CVG",1,8
"204",2024-01-09 11:00:00,2024-01-09 16:00:00,"CVG",1,8
"205",2024-01-09 12:00:00,2024-01-09 17:00:00,"CVG",1,8
"206",2024-01-09 13:00:00,2024-01-09 18:00:00,"CVG",1,8
"207",2024-01-09 14:00:00,2024-01-09 19:00:00,"CVG",1,8
"208",2024-01-09 15:00:00,2024-01-09 20:00:00,"CVG",1,8
"209",2024-01-09 16:00:00,2024-01-09 21:00:00,"CVG",1,8
"210",2024-01-09 17:00:00,2024-01-09 22:00:00,"CVG",1,8
"211",2024-01-09 18:00:00,2024-01-09 23:00:00,"CVG",0,8
"212",2024-01-09 19:00:00,2024-01-10,"CVG",0,8
"213",2024-01-09 20:00:00,2024-01-10 01:00:00,"CVG",0,8
"214",2024-01-09 21:00:00,2024-01-10 02:00:00,"CVG",0,8
"215",2024-01-09 22:00:00,2024-01-10 03:00:00,"CVG",0,8
"216",2024-01-09 23:00:00,2024-01-10 04:00:00,"CVG",0,7
"217",2024-01-10,2024-01-10 05:00:00,"CVG",0,8
"218",2024-01-10 01:00:00,2024-01-10 06:00:00,"CVG",0,8
"219",2024-01-10 02:00:00,2024-01-10 07:00:00,"CVG",0,8
"220",2024-01-10 03:00:00,2024-01-10 08:00:00,"CVG",0,8
"221",2024-01-10 04:00:00,2024-01-10 09:00:00,"CVG",0,8
"222",2024-01-10 05:00:00,2024-01-10 10:00:00,"CVG",0,8
"223",2024-01-10 06:00:00,2024-01-10 11:00:00,"CVG",0,8
"224",2024-01-10 07:00:00,2024-01-10 12:00:00,"CVG",0,8
"225",2024-01-10 08:00:00,2024-01-10 13:00:00,"CVG",0,8
"226",2024-01-10 09:00:00,2024-01-10 14:00:00,"CVG",1,8
"227",2024-01-10 10:00:00,2024-01-10 15:00:00,"CVG",1,8
"228",2024-01-10 11:00:00,2024-01-10 16:00:00,"CVG",1,8
"229",2024-01-10 12:00:00,2024-01-10 17:00:00,"CVG",1,8
"230",2024-01-10 13:00:00,2024-01-10 18:00:00,"CVG",1,8
"231",2024-01-10 14:00:00,2024-01-10 19:00:00,"CVG",1,8
"232",2024-01-10 15:00:00,2024-01-10 20:00:00,"CVG",1,8
"233",2024-01-10 16:00:00,2024-01-10 21:00:00,"CVG",1,8
"234",2024-01-10 17:00:00,2024-01-10 22:00:00,"CVG",1,8
"235",2024-01-10 18:00:00,2024-01-10 23:00:00,"CVG",0,8
"236",2024-01-10 19:00:00,2024-01-11,"CVG",0,8
"237",2024-01-10 20:00:00,2024-01-11 01:00:00,"CVG",0,8
"238",2024-01-10 21:00:00,2024-01-11 02:00:00,"CVG",0,7
"239",2024-01-10 22:00:00,2024-01-11 03:00:00,"CVG",0,0
"240",2024-01-10 23:00:00,2024-01-11 04:00:00,"CVG",0,2
"241",2024-01-11,2024-01-11 05:00:00,"CVG",0,0
"242",2024-01-11 01:00:00,2024-01-11 06:00:00,"CVG",0,2
"243",2024-01-11 02:00:00,2024-01-11 07:00:00,"CVG",0,8
"244",2024-01-11 03:00:00,2024-01-11 08:00:00,"CVG",0,8
"245",2024-01-11 04:00:00,2024-01-11 09:00:00,"CVG",0,2
"246",2024-01-11 05:00:00,2024-01-11 10:00:00,"CVG",0,0
"247",2024-01-11 06:00:00,2024-01-11 11:00:00,"CVG",0,0
"248",2024-01-11 07:00:00,2024-01-11 12:00:00,"CVG",0,2
"249",2024-01-11 08:00:00,2024-01-11 13:00:00,"CVG",0,7
"250",2024-01-11 09:00:00,2024-01-11 14:00:00,"CVG",1,8
"251",2024-01-11 10:00:00,2024-01-11 15:00:00,"CVG",1,4
"252",2024-01-11 11:00:00,2024-01-11 16:00:00,"CVG",1,2
"253",2024-01-11 12:00:00,2024-01-11 17:00:00,"CVG",1,2
"254",2024-01-11 13:00:00,2024-01-11 18:00:00,"CVG",1,4
"255",2024-01-11 14:00:00,2024-01-11 19:00:00,"CVG",1,4
"256",2024-01-11 15:00:00,2024-01-11 20:00:00,"CVG",1,4
"257",2024-01-11 16:00:00,2024-01-11 21:00:00,"CVG",1,4
"258",2024-01-11 17:00:00,2024-01-11 22:00:00,"CVG",1,4
"259",2024-01-11 18:00:00,2024-01-11 23:00:00,"CVG",0,4
"260",2024-01-11 19:00:00,2024-01-12,"CVG",0,2
"261",2024-01-11 20:00:00,2024-01-12 01:00:00,"CVG",0,4
"262",2024-01-11 21:00:00,2024-01-12 02:00:00,"CVG",0,7
"263",2024-01-11 22:00:00,2024-01-12 03:00:00,"CVG",0,7
"264",2024-01-11 23:00:00,2024-01-12 04:00:00,"CVG",0,2
"265",2024-01-12,2024-01-12 05:00:00,"CVG",0,2
"266",2024-01-12 01:00:00,2024-01-12 06:00:00,"CVG",0,2
"267",2024-01-12 02:00:00,2024-01-12 07:00:00,"CVG",0,7
"268",2024-01-12 03:00:00,2024-01-12 08:00:00,"CVG",0,7
"269",2024-01-12 04:00:00,2024-01-12 09:00:00,"CVG",0,8
"270",2024-01-12 05:00:00,2024-01-12 10:00:00,"CVG",0,8
"271",2024-01-12 06:00:00,2024-01-12 11:00:00,"CVG",0,8
"272",2024-01-12 07:00:00,2024-01-12 12:00:00,"CVG",0,8
"273",2024-01-12 08:00:00,2024-01-12 13:00:00,"CVG",0,8
"274",2024-01-12 09:00:00,2024-01-12 14:00:00,"CVG",1,8
"275",2024-01-12 10:00:00,2024-01-12 15:00:00,"CVG",1,8
"276",2024-01-12 11:00:00,2024-01-12 16:00:00,"CVG",1,8
"277",2024-01-12 12:00:00,2024-01-12 17:00:00,"CVG",1,8
"278",2024-01-12 13:00:00,2024-01-12 18:00:00,"CVG",1,8
"279",2024-01-12 14:00:00,2024-01-12 19:00:00,"CVG",1,8
"280",2024-01-12 15:00:00,2024-01-12 20:00:00,"CVG",1,8
"281",2024-01-12 16:00:00,2024-01-12 21:00:00,"CVG",1,8
"282",2024-01-12 17:00:00,2024-01-12 22:00:00,"CVG",1,8
"283",2024-01-12 18:00:00,2024-01-12 23:00:00,"CVG",0,8
"284",2024-01-12 19:00:00,2024-01-13,"CVG",0,8
"285",2024-01-12 20:00:00,2024-01-13 01:00:00,"CVG",0,8
"286",2024-01-12 21:00:00,2024-01-13 02:00:00,"CVG",0,8
"287",2024-01-12 22:00:00,2024-01-13 03:00:00,"CVG",0,8
"288",2024-01-12 23:00:00,2024-01-13 04:00:00,"CVG",0,8
"289",2024-01-13,2024-01-13 05:00:00,"CVG",0,8
"290",2024-01-13 01:00:00,2024-01-13 06:00:00,"CVG",0,8
"291",2024-01-13 02:00:00,2024-01-13 07:00:00,"CVG",0,8
"292",2024-01-13 03:00:00,2024-01-13 08:00:00,"CVG",0,8
"293",2024-01-13 04:00:00,2024-01-13 09:00:00,"CVG",0,8
"294",2024-01-13 05:00:00,2024-01-13 10:00:00,"CVG",0,8
"295",2024-01-13 06:00:00,2024-01-13 11:00:00,"CVG",0,8
"296",2024-01-13 07:00:00,2024-01-13 12:00:00,"CVG",0,8
"297",2024-01-13 08:00:00,2024-01-13 13:00:00,"CVG",0,8
"298",2024-01-13 09:00:00,2024-01-13 14:00:00,"CVG",1,8
"299",2024-01-13 10:00:00,2024-01-13 15:00:00,"CVG",1,8
"300",2024-01-13 11:00:00,2024-01-13 16:00:00,"CVG",1,8
"301",2024-01-13 12:00:00,2024-01-13 17:00:00,"CVG",1,8
"302",2024-01-13 13:00:00,2024-01-13 18:00:00,"CVG",1,8
"303",2024-01-13 14:00:00,2024-01-13 19:00:00,"CVG",1,8
"304",2024-01-13 15:00:00,2024-01-13 20:00:00,"CVG",1,5.5
"305",2024-01-13 16:00:00,2024-01-13 21:00:00,"CVG",1,8
"306",2024-01-13 17:00:00,2024-01-13 22:00:00,"CVG",1,8
"307",2024-01-13 18:00:00,2024-01-13 23:00:00,"CVG",0,8
"308",2024-01-13 19:00:00,2024-01-14,"CVG",0,8
"309",2024-01-13 20:00:00,2024-01-14 01:00:00,"CVG",0,8
"310",2024-01-13 21:00:00,2024-01-14 02:00:00,"CVG",0,8
"311",2024-01-13 22:00:00,2024-01-14 03:00:00,"CVG",0,8
"312",2024-01-13 23:00:00,2024-01-14 04:00:00,"CVG",0,8
"313",2024-01-14,2024-01-14 05:00:00,"CVG",0,8
"314",2024-01-14 01:00:00,2024-01-14 06:00:00,"CVG",0,8
"315",2024-01-14 02:00:00,2024-01-14 07:00:00,"CVG",0,8
"316",2024-01-14 03:00:00,2024-01-14 08:00:00,"CVG",0,8
"317",2024-01-14 04:00:00,2024-01-14 09:00:00,"CVG",0,4
"318",2024-01-14 05:00:00,2024-01-14 10:00:00,"CVG",0,4
"319",2024-01-14 06:00:00,2024-01-14 11:00:00,"CVG",0,4
"320",2024-01-14 07:00:00,2024-01-14 12:00:00,"CVG",0,2
"321",2024-01-14 08:00:00,2024-01-14 13:00:00,"CVG",0,4
"322",2024-01-14 09:00:00,2024-01-14 14:00:00,"CVG",1,4
"323",2024-01-14 10:00:00,2024-01-14 15:00:00,"CVG",1,4
"324",2024-01-14 11:00:00,2024-01-14 16:00:00,"CVG",1,4
"325",2024-01-14 12:00:00,2024-01-14 17:00:00,"CVG",1,7
"326",2024-01-14 13:00:00,2024-01-14 18:00:00,"CVG",1,7
"327",2024-01-14 14:00:00,2024-01-14 19:00:00,"CVG",1,7
"328",2024-01-14 15:00:00,2024-01-14 20:00:00,"CVG",1,8
"329",2024-01-14 16:00:00,2024-01-14 21:00:00,"CVG",1,8
"330",2024-01-14 17:00:00,2024-01-14 22:00:00,"CVG",1,8
"331",2024-01-14 18:00:00,2024-01-14 23:00:00,"CVG",0,8
"332",2024-01-14 19:00:00,2024-01-15,"CVG",0,8
"333",2024-01-14 20:00:00,2024-01-15 01:00:00,"CVG",0,8
"334",2024-01-14 21:00:00,2024-01-15 02:00:00,"CVG",0,8
"335",2024-01-14 22:00:00,2024-01-15 03:00:00,"CVG",0,7
"336",2024-01-14 23:00:00,2024-01-15 04:00:00,"CVG",0,7
"337",2024-01-15,2024-01-15 05:00:00,"CVG",0,8
"338",2024-01-15 01:00:00,2024-01-15 06:00:00,"CVG",0,8
"339",2024-01-15 02:00:00,2024-01-15 07:00:00,"CVG",0,7
"340",2024-01-15 03:00:00,2024-01-15 08:00:00,"CVG",0,8
"341",2024-01-15 04:00:00,2024-01-15 09:00:00,"CVG",0,8
"342",2024-01-15 05:00:00,2024-01-15 10:00:00,"CVG",0,8
"343",2024-01-15 06:00:00,2024-01-15 11:00:00,"CVG",0,8
"344",2024-01-15 07:00:00,2024-01-15 12:00:00,"CVG",0,4
"345",2024-01-15 08:00:00,2024-01-15 13:00:00,"CVG",0,7
"346",2024-01-15 09:00:00,2024-01-15 14:00:00,"CVG",1,7
"347",2024-01-15 10:00:00,2024-01-15 15:00:00,"CVG",1,7
"348",2024-01-15 11:00:00,2024-01-15 16:00:00,"CVG",1,7
"349",2024-01-15 12:00:00,2024-01-15 17:00:00,"CVG",1,7
"350",2024-01-15 13:00:00,2024-01-15 18:00:00,"CVG",1,7
"351",2024-01-15 14:00:00,2024-01-15 19:00:00,"CVG",1,8
"352",2024-01-15 15:00:00,2024-01-15 20:00:00,"CVG",1,8
"353",2024-01-15 16:00:00,2024-01-15 21:00:00,"CVG",1,8
"354",2024-01-15 17:00:00,2024-01-15 22:00:00,"CVG",1,8
"355",2024-01-15 18:00:00,2024-01-15 23:00:00,"CVG",0,8
"356",2024-01-15 19:00:00,2024-01-16,"CVG",0,8
"357",2024-01-15 20:00:00,2024-01-16 01:00:00,"CVG",0,8
"358",2024-01-15 21:00:00,2024-01-16 02:00:00,"CVG",0,8
"359",2024-01-15 22:00:00,2024-01-16 03:00:00,"CVG",0,8
"360",2024-01-15 23:00:00,2024-01-16 04:00:00,"CVG",0,8
"361",2024-01-16,2024-01-16 05:00:00,"CVG",0,8
"362",2024-01-16 01:00:00,2024-01-16 06:00:00,"CVG",0,8
"363",2024-01-16 02:00:00,2024-01-16 07:00:00,"CVG",0,8
"364",2024-01-16 03:00:00,2024-01-16 08:00:00,"CVG",0,8
"365",2024-01-16 04:00:00,2024-01-16 09:00:00,"CVG",0,8
"366",2024-01-16 05:00:00,2024-01-16 10:00:00,"CVG",0,8
"367",2024-01-16 06:00:00,2024-01-16 11:00:00,"CVG",0,8
"368",2024-01-16 07:00:00,2024-01-16 12:00:00,"CVG",0,8
"369",2024-01-16 08:00:00,2024-01-16 13:00:00,"CVG",0,8
"370",2024-01-16 09:00:00,2024-01-16 14:00:00,"CVG",1,6
"371",2024-01-16 10:00:00,2024-01-16 15:00:00,"CVG",1,7
